seatoxin CLUSTALO MAFFT-GINSI dpa_align 50 28.7  93
hip CLUSTALO MAFFT-GINSI dpa_align 50 71.6  167
scorptoxin CLUSTALO MAFFT-GINSI dpa_align 50 79.8  363
cyt3 CLUSTALO MAFFT-GINSI dpa_align 50 39.4  385
rnasemam CLUSTALO MAFFT-GINSI dpa_align 50 84.4  498
bowman CLUSTALO MAFFT-GINSI dpa_align 50 75.6  499
toxin CLUSTALO MAFFT-GINSI dpa_align 50 55.5  508
ghf11 CLUSTALO MAFFT-GINSI dpa_align 50 83.6  521
TNF CLUSTALO MAFFT-GINSI dpa_align 50 75.3  556
sti CLUSTALO MAFFT-GINSI dpa_align 50 59.1  613
Stap_Strp_toxin CLUSTALO MAFFT-GINSI dpa_align 50 39.5  640
profilin CLUSTALO MAFFT-GINSI dpa_align 50 70.3  687
ricin CLUSTALO MAFFT-GINSI dpa_align 50 85.4  747
ghf22 CLUSTALO MAFFT-GINSI dpa_align 50 82.1  760
ChtBD CLUSTALO MAFFT-GINSI dpa_align 50 93.7  774
ins CLUSTALO MAFFT-GINSI dpa_align 50 83.2  793
trfl CLUSTALO MAFFT-GINSI dpa_align 50 1.0  837
slectin CLUSTALO MAFFT-GINSI dpa_align 50 85.5  932
phoslip CLUSTALO MAFFT-GINSI dpa_align 50 75.4  946
ltn CLUSTALO MAFFT-GINSI dpa_align 50 64.7  1068
il8 CLUSTALO MAFFT-GINSI dpa_align 50 59.9  1073
az CLUSTALO MAFFT-GINSI dpa_align 50 28.0  1086
kringle CLUSTALO MAFFT-GINSI dpa_align 50 80.5  1091
cryst CLUSTALO MAFFT-GINSI dpa_align 50 0.0  1160
DEATH CLUSTALO MAFFT-GINSI dpa_align 50 55.9  1183
cah CLUSTALO MAFFT-GINSI dpa_align 50 54.2  1379
mmp CLUSTALO MAFFT-GINSI dpa_align 50 87.8  1427
rub CLUSTALO MAFFT-GINSI dpa_align 50 87.3  1435
ghf10 CLUSTALO MAFFT-GINSI dpa_align 50 85.4  1502
tgfb CLUSTALO MAFFT-GINSI dpa_align 50 68.9  1606
sodcu CLUSTALO MAFFT-GINSI dpa_align 50 79.2  2038
KAS CLUSTALO MAFFT-GINSI dpa_align 50 67.5  2070
DMRL_synthase CLUSTALO MAFFT-GINSI dpa_align 50 83.8  2099
tms CLUSTALO MAFFT-GINSI dpa_align 50 86.9  2118
GEL CLUSTALO MAFFT-GINSI dpa_align 50 47.9  2195
kunitz CLUSTALO MAFFT-GINSI dpa_align 50 64.2  2266
Sulfotransfer CLUSTALO MAFFT-GINSI dpa_align 50 47.1  2489
mofe CLUSTALO MAFFT-GINSI dpa_align 50 76.0  2567
Ald_Xan_dh_2 CLUSTALO MAFFT-GINSI dpa_align 50 66.7  2589
ghf5 CLUSTALO MAFFT-GINSI dpa_align 50 19.5  2717
phc CLUSTALO MAFFT-GINSI dpa_align 50 89.7  2957
aadh CLUSTALO MAFFT-GINSI dpa_align 50 63.8  3127
annexin CLUSTALO MAFFT-GINSI dpa_align 50 99.4  3139
serpin CLUSTALO MAFFT-GINSI dpa_align 50 83.4  3144
cytb CLUSTALO MAFFT-GINSI dpa_align 50 62.0  3206
asp CLUSTALO MAFFT-GINSI dpa_align 50 35.5  3262
oxidored_q6 CLUSTALO MAFFT-GINSI dpa_align 50 43.1  3348
hpr CLUSTALO MAFFT-GINSI dpa_align 50 73.4  3349
hormone_rec CLUSTALO MAFFT-GINSI dpa_align 50 65.8  3509
hr CLUSTALO MAFFT-GINSI dpa_align 50 96.3  3707
tim CLUSTALO MAFFT-GINSI dpa_align 50 91.5  3904
glob CLUSTALO MAFFT-GINSI dpa_align 50 55.7  3983
ace CLUSTALO MAFFT-GINSI dpa_align 50 65.0  3989
cys CLUSTALO MAFFT-GINSI dpa_align 50 63.1  4316
ghf1 CLUSTALO MAFFT-GINSI dpa_align 50 69.7  4358
sodfe CLUSTALO MAFFT-GINSI dpa_align 50 62.6  4455
peroxidase CLUSTALO MAFFT-GINSI dpa_align 50 65.9  4514
uce CLUSTALO MAFFT-GINSI dpa_align 50 58.7  4558
flav CLUSTALO MAFFT-GINSI dpa_align 50 38.8  4612
HMG_box CLUSTALO MAFFT-GINSI dpa_align 50 73.7  4779
OTCace CLUSTALO MAFFT-GINSI dpa_align 50 83.3  4795
msb CLUSTALO MAFFT-GINSI dpa_align 50 62.4  4884
icd CLUSTALO MAFFT-GINSI dpa_align 50 81.4  5678
proteasome CLUSTALO MAFFT-GINSI dpa_align 50 55.5  5732
cyclo CLUSTALO MAFFT-GINSI dpa_align 50 76.3  6288
LIM CLUSTALO MAFFT-GINSI dpa_align 50 96.5  6428
HLH CLUSTALO MAFFT-GINSI dpa_align 50 62.4  6781
ldh CLUSTALO MAFFT-GINSI dpa_align 50 64.0  7367
subt CLUSTALO MAFFT-GINSI dpa_align 50 26.8  7517
int CLUSTALO MAFFT-GINSI dpa_align 50 23.9  7572
lyase_1 CLUSTALO MAFFT-GINSI dpa_align 50 70.3  7632
gpdh CLUSTALO MAFFT-GINSI dpa_align 50 87.5  7691
egf CLUSTALO MAFFT-GINSI dpa_align 50 25.8  7774
blm CLUSTALO MAFFT-GINSI dpa_align 50 83.7  9105
gluts CLUSTALO MAFFT-GINSI dpa_align 50 74.7  10099
myb_DNA-binding CLUSTALO MAFFT-GINSI dpa_align 50 64.1  10398
tRNA-synt_2b CLUSTALO MAFFT-GINSI dpa_align 50 42.0  11293
biotin_lipoyl CLUSTALO MAFFT-GINSI dpa_align 50 78.2  11833
hom CLUSTALO MAFFT-GINSI dpa_align 50 70.8  12037
ghf13 CLUSTALO MAFFT-GINSI dpa_align 50 34.5  12607
aldosered CLUSTALO MAFFT-GINSI dpa_align 50 76.0  13277
hla CLUSTALO MAFFT-GINSI dpa_align 50 97.8  13465
Rhodanese CLUSTALO MAFFT-GINSI dpa_align 50 33.9  14049
PDZ CLUSTALO MAFFT-GINSI dpa_align 50 50.2  14950
blmb CLUSTALO MAFFT-GINSI dpa_align 50 22.3  17200
rhv CLUSTALO MAFFT-GINSI dpa_align 50 64.4  17976
p450 CLUSTALO MAFFT-GINSI dpa_align 50 35.3  21013
adh CLUSTALO MAFFT-GINSI dpa_align 50 97.4  21331
aat CLUSTALO MAFFT-GINSI dpa_align 50 50.8  25100
rrm CLUSTALO MAFFT-GINSI dpa_align 50 18.6  27610
