seatoxin CLUSTALO MAFFT-GINSI dpa_align 50 73.1  93
hip CLUSTALO MAFFT-GINSI dpa_align 50 83.5  167
scorptoxin CLUSTALO MAFFT-GINSI dpa_align 50 90.3  363
cyt3 CLUSTALO MAFFT-GINSI dpa_align 50 76.6  385
rnasemam CLUSTALO MAFFT-GINSI dpa_align 50 94.4  498
bowman CLUSTALO MAFFT-GINSI dpa_align 50 89.2  499
toxin CLUSTALO MAFFT-GINSI dpa_align 50 88.8  508
ghf11 CLUSTALO MAFFT-GINSI dpa_align 50 92.2  521
TNF CLUSTALO MAFFT-GINSI dpa_align 50 84.7  556
sti CLUSTALO MAFFT-GINSI dpa_align 50 78.5  613
Stap_Strp_toxin CLUSTALO MAFFT-GINSI dpa_align 50 73.4  640
profilin CLUSTALO MAFFT-GINSI dpa_align 50 84.6  687
ricin CLUSTALO MAFFT-GINSI dpa_align 50 93.0  747
ghf22 CLUSTALO MAFFT-GINSI dpa_align 50 94.8  760
ChtBD CLUSTALO MAFFT-GINSI dpa_align 50 97.3  774
ins CLUSTALO MAFFT-GINSI dpa_align 50 89.7  793
trfl CLUSTALO MAFFT-GINSI dpa_align 50 44.0  837
slectin CLUSTALO MAFFT-GINSI dpa_align 50 91.0  932
phoslip CLUSTALO MAFFT-GINSI dpa_align 50 93.1  946
ltn CLUSTALO MAFFT-GINSI dpa_align 50 82.8  1068
il8 CLUSTALO MAFFT-GINSI dpa_align 50 86.5  1073
az CLUSTALO MAFFT-GINSI dpa_align 50 64.7  1086
kringle CLUSTALO MAFFT-GINSI dpa_align 50 93.1  1091
cryst CLUSTALO MAFFT-GINSI dpa_align 50 39.8  1160
DEATH CLUSTALO MAFFT-GINSI dpa_align 50 69.1  1183
cah CLUSTALO MAFFT-GINSI dpa_align 50 70.6  1379
mmp CLUSTALO MAFFT-GINSI dpa_align 50 94.3  1427
rub CLUSTALO MAFFT-GINSI dpa_align 50 95.3  1435
ghf10 CLUSTALO MAFFT-GINSI dpa_align 50 92.1  1502
tgfb CLUSTALO MAFFT-GINSI dpa_align 50 90.1  1606
sodcu CLUSTALO MAFFT-GINSI dpa_align 50 89.4  2038
KAS CLUSTALO MAFFT-GINSI dpa_align 50 81.6  2070
DMRL_synthase CLUSTALO MAFFT-GINSI dpa_align 50 92.0  2099
tms CLUSTALO MAFFT-GINSI dpa_align 50 93.7  2118
GEL CLUSTALO MAFFT-GINSI dpa_align 50 67.4  2195
kunitz CLUSTALO MAFFT-GINSI dpa_align 50 77.5  2266
Sulfotransfer CLUSTALO MAFFT-GINSI dpa_align 50 69.9  2489
mofe CLUSTALO MAFFT-GINSI dpa_align 50 86.2  2567
Ald_Xan_dh_2 CLUSTALO MAFFT-GINSI dpa_align 50 80.7  2589
ghf5 CLUSTALO MAFFT-GINSI dpa_align 50 38.9  2717
phc CLUSTALO MAFFT-GINSI dpa_align 50 96.5  2957
aadh CLUSTALO MAFFT-GINSI dpa_align 50 85.7  3127
annexin CLUSTALO MAFFT-GINSI dpa_align 50 99.7  3139
serpin CLUSTALO MAFFT-GINSI dpa_align 50 92.5  3144
cytb CLUSTALO MAFFT-GINSI dpa_align 50 72.5  3206
asp CLUSTALO MAFFT-GINSI dpa_align 50 63.2  3262
oxidored_q6 CLUSTALO MAFFT-GINSI dpa_align 50 76.4  3348
hpr CLUSTALO MAFFT-GINSI dpa_align 50 88.7  3349
hormone_rec CLUSTALO MAFFT-GINSI dpa_align 50 74.9  3509
hr CLUSTALO MAFFT-GINSI dpa_align 50 97.3  3707
tim CLUSTALO MAFFT-GINSI dpa_align 50 96.1  3904
glob CLUSTALO MAFFT-GINSI dpa_align 50 91.7  3983
ace CLUSTALO MAFFT-GINSI dpa_align 50 79.6  3989
cys CLUSTALO MAFFT-GINSI dpa_align 50 85.3  4316
ghf1 CLUSTALO MAFFT-GINSI dpa_align 50 87.7  4358
sodfe CLUSTALO MAFFT-GINSI dpa_align 50 86.8  4455
peroxidase CLUSTALO MAFFT-GINSI dpa_align 50 86.6  4514
uce CLUSTALO MAFFT-GINSI dpa_align 50 83.3  4558
flav CLUSTALO MAFFT-GINSI dpa_align 50 72.5  4612
HMG_box CLUSTALO MAFFT-GINSI dpa_align 50 88.2  4779
OTCace CLUSTALO MAFFT-GINSI dpa_align 50 92.3  4795
msb CLUSTALO MAFFT-GINSI dpa_align 50 83.1  4884
icd CLUSTALO MAFFT-GINSI dpa_align 50 91.0  5678
proteasome CLUSTALO MAFFT-GINSI dpa_align 50 86.5  5732
cyclo CLUSTALO MAFFT-GINSI dpa_align 50 86.9  6288
LIM CLUSTALO MAFFT-GINSI dpa_align 50 97.7  6428
HLH CLUSTALO MAFFT-GINSI dpa_align 50 72.4  6781
ldh CLUSTALO MAFFT-GINSI dpa_align 50 86.2  7367
subt CLUSTALO MAFFT-GINSI dpa_align 50 70.0  7517
int CLUSTALO MAFFT-GINSI dpa_align 50 58.6  7572
lyase_1 CLUSTALO MAFFT-GINSI dpa_align 50 83.5  7632
gpdh CLUSTALO MAFFT-GINSI dpa_align 50 93.9  7691
egf CLUSTALO MAFFT-GINSI dpa_align 50 55.5  7774
blm CLUSTALO MAFFT-GINSI dpa_align 50 94.3  9105
gluts CLUSTALO MAFFT-GINSI dpa_align 50 88.9  10099
myb_DNA-binding CLUSTALO MAFFT-GINSI dpa_align 50 76.2  10398
tRNA-synt_2b CLUSTALO MAFFT-GINSI dpa_align 50 58.0  11293
biotin_lipoyl CLUSTALO MAFFT-GINSI dpa_align 50 93.5  11833
hom CLUSTALO MAFFT-GINSI dpa_align 50 89.0  12037
ghf13 CLUSTALO MAFFT-GINSI dpa_align 50 61.0  12607
aldosered CLUSTALO MAFFT-GINSI dpa_align 50 88.5  13277
hla CLUSTALO MAFFT-GINSI dpa_align 50 98.8  13465
Rhodanese CLUSTALO MAFFT-GINSI dpa_align 50 57.9  14049
PDZ CLUSTALO MAFFT-GINSI dpa_align 50 72.6  14950
blmb CLUSTALO MAFFT-GINSI dpa_align 50 38.0  17200
rhv CLUSTALO MAFFT-GINSI dpa_align 50 80.9  17976
p450 CLUSTALO MAFFT-GINSI dpa_align 50 67.2  21013
adh CLUSTALO MAFFT-GINSI dpa_align 50 98.7  21331
aat CLUSTALO MAFFT-GINSI dpa_align 50 81.3  25100
rrm CLUSTALO MAFFT-GINSI dpa_align 50 69.5  27610
Acetyltransf CLUSTALO MAFFT-GINSI dpa_align 50 59.9  46285
sdr CLUSTALO MAFFT-GINSI dpa_align 50 62.8  50157
zf-CCHH CLUSTALO MAFFT-GINSI dpa_align 50 76.7  88345
rvp CLUSTALO MAFFT-GINSI dpa_align 50 72.8  93681
seatoxin CLUSTALO MAFFT-GINSI dpa_align 100 81.2  93
hip CLUSTALO MAFFT-GINSI dpa_align 100 84.4  167
scorptoxin CLUSTALO MAFFT-GINSI dpa_align 100 90.6  363
cyt3 CLUSTALO MAFFT-GINSI dpa_align 100 74.2  385
rnasemam CLUSTALO MAFFT-GINSI dpa_align 100 92.5  498
bowman CLUSTALO MAFFT-GINSI dpa_align 100 92.7  499
toxin CLUSTALO MAFFT-GINSI dpa_align 100 90.9  508
ghf11 CLUSTALO MAFFT-GINSI dpa_align 100 88.6  521
TNF CLUSTALO MAFFT-GINSI dpa_align 100 79.6  556
sti CLUSTALO MAFFT-GINSI dpa_align 100 75.4  613
Stap_Strp_toxin CLUSTALO MAFFT-GINSI dpa_align 100 80.9  640
profilin CLUSTALO MAFFT-GINSI dpa_align 100 87.5  687
ricin CLUSTALO MAFFT-GINSI dpa_align 100 91.5  747
ghf22 CLUSTALO MAFFT-GINSI dpa_align 100 96.6  760
ChtBD CLUSTALO MAFFT-GINSI dpa_align 100 94.9  774
ins CLUSTALO MAFFT-GINSI dpa_align 100 90.6  793
trfl CLUSTALO MAFFT-GINSI dpa_align 100 44.1  837
slectin CLUSTALO MAFFT-GINSI dpa_align 100 93.5  932
phoslip CLUSTALO MAFFT-GINSI dpa_align 100 93.7  946
ltn CLUSTALO MAFFT-GINSI dpa_align 100 90.9  1068
il8 CLUSTALO MAFFT-GINSI dpa_align 100 88.5  1073
az CLUSTALO MAFFT-GINSI dpa_align 100 69.3  1086
kringle CLUSTALO MAFFT-GINSI dpa_align 100 95.6  1091
cryst CLUSTALO MAFFT-GINSI dpa_align 100 55.3  1160
DEATH CLUSTALO MAFFT-GINSI dpa_align 100 74.4  1183
cah CLUSTALO MAFFT-GINSI dpa_align 100 79.9  1379
mmp CLUSTALO MAFFT-GINSI dpa_align 100 92.6  1427
rub CLUSTALO MAFFT-GINSI dpa_align 100 94.5  1435
ghf10 CLUSTALO MAFFT-GINSI dpa_align 100 90.3  1502
tgfb CLUSTALO MAFFT-GINSI dpa_align 100 92.1  1606
sodcu CLUSTALO MAFFT-GINSI dpa_align 100 88.4  2038
KAS CLUSTALO MAFFT-GINSI dpa_align 100 82.7  2070
DMRL_synthase CLUSTALO MAFFT-GINSI dpa_align 100 91.0  2099
tms CLUSTALO MAFFT-GINSI dpa_align 100 95.6  2118
GEL CLUSTALO MAFFT-GINSI dpa_align 100 64.6  2195
kunitz CLUSTALO MAFFT-GINSI dpa_align 100 85.6  2266
Sulfotransfer CLUSTALO MAFFT-GINSI dpa_align 100 70.0  2489
mofe CLUSTALO MAFFT-GINSI dpa_align 100 89.6  2567
Ald_Xan_dh_2 CLUSTALO MAFFT-GINSI dpa_align 100 85.8  2589
ghf5 CLUSTALO MAFFT-GINSI dpa_align 100 33.3  2717
phc CLUSTALO MAFFT-GINSI dpa_align 100 96.6  2957
aadh CLUSTALO MAFFT-GINSI dpa_align 100 84.4  3127
annexin CLUSTALO MAFFT-GINSI dpa_align 100 84.5  3139
serpin CLUSTALO MAFFT-GINSI dpa_align 100 94.0  3144
cytb CLUSTALO MAFFT-GINSI dpa_align 100 77.7  3206
asp CLUSTALO MAFFT-GINSI dpa_align 100 73.5  3262
oxidored_q6 CLUSTALO MAFFT-GINSI dpa_align 100 77.1  3348
hpr CLUSTALO MAFFT-GINSI dpa_align 100 91.3  3349
hormone_rec CLUSTALO MAFFT-GINSI dpa_align 100 76.5  3509
hr CLUSTALO MAFFT-GINSI dpa_align 100 97.3  3707
tim CLUSTALO MAFFT-GINSI dpa_align 100 96.8  3904
glob CLUSTALO MAFFT-GINSI dpa_align 100 93.3  3983
ace CLUSTALO MAFFT-GINSI dpa_align 100 81.1  3989
cys CLUSTALO MAFFT-GINSI dpa_align 100 83.9  4316
ghf1 CLUSTALO MAFFT-GINSI dpa_align 100 90.0  4358
sodfe CLUSTALO MAFFT-GINSI dpa_align 100 90.6  4455
peroxidase CLUSTALO MAFFT-GINSI dpa_align 100 90.0  4514
uce CLUSTALO MAFFT-GINSI dpa_align 100 79.2  4558
flav CLUSTALO MAFFT-GINSI dpa_align 100 70.0  4612
HMG_box CLUSTALO MAFFT-GINSI dpa_align 100 93.1  4779
OTCace CLUSTALO MAFFT-GINSI dpa_align 100 93.7  4795
msb CLUSTALO MAFFT-GINSI dpa_align 100 82.3  4884
icd CLUSTALO MAFFT-GINSI dpa_align 100 91.1  5678
proteasome CLUSTALO MAFFT-GINSI dpa_align 100 87.1  5732
cyclo CLUSTALO MAFFT-GINSI dpa_align 100 88.4  6288
LIM CLUSTALO MAFFT-GINSI dpa_align 100 97.7  6428
HLH CLUSTALO MAFFT-GINSI dpa_align 100 74.3  6781
ldh CLUSTALO MAFFT-GINSI dpa_align 100 89.6  7367
subt CLUSTALO MAFFT-GINSI dpa_align 100 69.3  7517
int CLUSTALO MAFFT-GINSI dpa_align 100 68.2  7572
