seatoxin CLUSTALO MAFFT-GINSI dpa_align 50 30.6  93
hip CLUSTALO MAFFT-GINSI dpa_align 50 59.5  167
scorptoxin CLUSTALO MAFFT-GINSI dpa_align 50 71.2  363
cyt3 CLUSTALO MAFFT-GINSI dpa_align 50 33.9  385
rnasemam CLUSTALO MAFFT-GINSI dpa_align 50 74.6  498
bowman CLUSTALO MAFFT-GINSI dpa_align 50 71.4  499
toxin CLUSTALO MAFFT-GINSI dpa_align 50 45.5  508
ghf11 CLUSTALO MAFFT-GINSI dpa_align 50 81.8  521
TNF CLUSTALO MAFFT-GINSI dpa_align 50 70.1  556
sti CLUSTALO MAFFT-GINSI dpa_align 50 52.7  613
Stap_Strp_toxin CLUSTALO MAFFT-GINSI dpa_align 50 35.8  640
profilin CLUSTALO MAFFT-GINSI dpa_align 50 68.0  687
ricin CLUSTALO MAFFT-GINSI dpa_align 50 79.1  747
ghf22 CLUSTALO MAFFT-GINSI dpa_align 50 78.5  760
ChtBD CLUSTALO MAFFT-GINSI dpa_align 50 93.0  774
ins CLUSTALO MAFFT-GINSI dpa_align 50 69.6  793
trfl CLUSTALO MAFFT-GINSI dpa_align 50 2.6  837
slectin CLUSTALO MAFFT-GINSI dpa_align 50 81.8  932
phoslip CLUSTALO MAFFT-GINSI dpa_align 50 65.4  946
ltn CLUSTALO MAFFT-GINSI dpa_align 50 57.7  1068
il8 CLUSTALO MAFFT-GINSI dpa_align 50 53.2  1073
az CLUSTALO MAFFT-GINSI dpa_align 50 31.0  1086
kringle CLUSTALO MAFFT-GINSI dpa_align 50 74.2  1091
cryst CLUSTALO MAFFT-GINSI dpa_align 50 0.0  1160
DEATH CLUSTALO MAFFT-GINSI dpa_align 50 41.1  1183
cah CLUSTALO MAFFT-GINSI dpa_align 50 51.3  1379
mmp CLUSTALO MAFFT-GINSI dpa_align 50 84.6  1427
rub CLUSTALO MAFFT-GINSI dpa_align 50 87.0  1435
ghf10 CLUSTALO MAFFT-GINSI dpa_align 50 79.9  1502
tgfb CLUSTALO MAFFT-GINSI dpa_align 50 56.4  1606
sodcu CLUSTALO MAFFT-GINSI dpa_align 50 74.1  2038
KAS CLUSTALO MAFFT-GINSI dpa_align 50 61.8  2070
DMRL_synthase CLUSTALO MAFFT-GINSI dpa_align 50 73.4  2099
tms CLUSTALO MAFFT-GINSI dpa_align 50 80.7  2118
GEL CLUSTALO MAFFT-GINSI dpa_align 50 39.7  2195
kunitz CLUSTALO MAFFT-GINSI dpa_align 50 60.0  2266
Sulfotransfer CLUSTALO MAFFT-GINSI dpa_align 50 39.5  2489
mofe CLUSTALO MAFFT-GINSI dpa_align 50 70.6  2567
Ald_Xan_dh_2 CLUSTALO MAFFT-GINSI dpa_align 50 60.2  2589
ghf5 CLUSTALO MAFFT-GINSI dpa_align 50 13.6  2717
phc CLUSTALO MAFFT-GINSI dpa_align 50 84.4  2957
aadh CLUSTALO MAFFT-GINSI dpa_align 50 60.3  3127
annexin CLUSTALO MAFFT-GINSI dpa_align 50 98.7  3139
serpin CLUSTALO MAFFT-GINSI dpa_align 50 76.6  3144
cytb CLUSTALO MAFFT-GINSI dpa_align 50 54.3  3206
asp CLUSTALO MAFFT-GINSI dpa_align 50 34.5  3262
oxidored_q6 CLUSTALO MAFFT-GINSI dpa_align 50 42.9  3348
hpr CLUSTALO MAFFT-GINSI dpa_align 50 71.6  3349
hormone_rec CLUSTALO MAFFT-GINSI dpa_align 50 51.2  3509
